    1300      259.8000  0.10000E+01  0.68094E-27  0.77106E-24  0.19745E-23  0.64971E-12  0.27300E-17  0.81214E-06  0.31152E-23  0.29727E-24  0.23012E-05  0.10394E-27  0.14492E-23  0.14660E-22  0.11042E-11  0.13645E-11  0.81356E-23  0.51934E-24  0.37177E-06  0.47131E-06  0.44229E-23  0.53195E-24
    1350      269.8000  0.10000E+01  0.79285E-27  0.68638E-24  0.17581E-23  0.84452E-12  0.35348E-17  0.74564E-06  0.32479E-23  0.30628E-24  0.31002E-05  0.75260E-28  0.97384E-24  0.98160E-23  0.90294E-12  0.11158E-11  0.80051E-23  0.51200E-24  0.35460E-06  0.29927E-06  0.64408E-23  0.77847E-24
    1400      279.8000  0.10000E+01  0.97984E-27  0.47378E-24  0.12174E-23  0.10892E-11  0.44635E-17  0.44026E-06  0.36709E-23  0.36308E-24  0.22580E-05  0.11372E-27  0.11687E-23  0.11778E-22  0.14446E-11  0.17852E-11  0.41218E-23  0.26019E-24  0.51593E-06  0.50530E-06  0.42762E-23  0.51422E-24
    1450      289.8000  0.10000E+01  0.11780E-26  0.27910E-24  0.71938E-24  0.72951E-12  0.29705E-17  0.43615E-06  0.33593E-23  0.32643E-24  0.17424E-05  0.24392E-27  0.13105E-23  0.13249E-22  0.88982E-12  0.10996E-11  0.83298E-23  0.53341E-24  0.36414E-06  0.34984E-06  0.68224E-23  0.82389E-24
    1500      299.8000  0.10000E+01  0.13006E-26  0.58380E-24  0.14997E-23  0.58606E-12  0.24575E-17  0.81155E-06  0.34997E-23  0.33532E-24  0.29854E-05  0.40162E-27  0.10831E-23  0.10893E-22  0.14180E-11  0.17522E-11  0.55881E-23  0.35546E-24  0.43014E-06  0.49272E-06  0.46116E-23  0.55568E-24
    1550      309.8000  0.10000E+01  0.14235E-26  0.51647E-24  0.13289E-23  0.11658E-11  0.47785E-17  0.34593E-06  0.33746E-23  0.33034E-24  0.16556E-05  0.51010E-27  0.11150E-23  0.11284E-22  0.76351E-12  0.94351E-12  0.48574E-23  0.30882E-24  0.52036E-06  0.34185E-06  0.46538E-23  0.56017E-24
    1600      319.8000  0.10000E+01  0.17699E-26  0.50312E-24  0.12912E-23  0.59276E-12  0.25025E-17  0.80789E-06  0.35636E-23  0.34991E-24  0.26085E-05  0.47698E-27  0.15436E-23  0.15548E-22  0.15145E-11  0.18715E-11  0.92220E-23  0.59306E-24  0.34389E-06  0.35807E-06  0.68305E-23  0.82372E-24
    1650      329.8000  0.10000E+01  0.24609E-26  0.40371E-24  0.10403E-23  0.73828E-12  0.29769E-17  0.36285E-06  0.31377E-23  0.29418E-24  0.26512E-05  0.32762E-27  0.90837E-24  0.91268E-23  0.12483E-11  0.15426E-11  0.75819E-23  0.48267E-24  0.34971E-06  0.52900E-06  0.68575E-23  0.82455E-24
    1700      339.8000  0.10000E+01  0.31695E-26  0.62487E-24  0.16167E-23  0.12953E-11  0.54134E-17  0.61281E-06  0.39490E-23  0.38764E-24  0.15721E-05  0.22731E-27  0.82761E-24  0.83757E-23  0.75026E-12  0.92710E-12  0.56822E-23  0.36212E-24  0.39462E-06  0.52266E-06  0.62791E-23  0.75756E-24
    1750      349.8000  0.10000E+01  0.34857E-26  0.29995E-24  0.77091E-24  0.61597E-12  0.26134E-17  0.80177E-06  0.38209E-23  0.37987E-24  0.20104E-05  0.30284E-27  0.13045E-23  0.13162E-22  0.82396E-12  0.10182E-11  0.42734E-23  0.27233E-24  0.44766E-06  0.44225E-06  0.57285E-23  0.69338E-24
